Time Stellar_Mass Accretion_Rate Stellar_Radius Polytropic_Index Deuterium_Mass Intrinsic_Lum Total_Luminosity Stage Stellar_Temperature
0.001999957284457627 0.0013688902615658636 2.1562686855952564e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.003999914568915254 0.0018001347879767937 2.4726979632654567e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.00599987185337288 0.002294663818681511 2.791760079830508e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.007999829137830507 0.002853003909102733 3.112932775791248e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.009999786422288133 0.003475577167384443 3.435832841831636e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.01199974370674576 0.00416272905902152 3.760171307693584e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.013999700991203387 0.00491474725910974 4.0857252017249926e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.015999658275661015 0.005731874845299806 4.412319051907733e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.01799961556011864 0.006614319810926541 4.739812409843656e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.019999572844576267 0.007562262047472715 5.068091183725926e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.021999530129033894 0.008575858635228768 5.397061482066501e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.02399948741349152 0.009655247875660636 5.726645146073768e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.025999444697949146 0.010800552444683179 6.056776440596557e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.027999401982406774 0.012011881861969984 6.387399571935373e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.0299993592668644 0.013289334487523624 6.718466796046354e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.03199931655132203 0.014632999151118386 7.049936942559466e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.03399927383577965 0.016042956424673748 7.381774272082901e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.03599923112023728 0.0175192797487827 7.71394756680784e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.037999188404694906 0.019062036312811968 8.04642939886585e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.039999145689152533 0.02067128781933193 8.379195547871554e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.04199910297361016 0.02234709113790538 8.71222451845115e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.04399906025806779 0.024089498828118523 9.045497151408498e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.04599901754252542 0.025898559617349656 9.378996293613059e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.04799897482698304 0.027774318813159032 9.712706536132149e-07 0.0 0.0 0.0 0.0 0.0 0 nan
0.049998932111440665 0.029716818635212337 1.0046613977756443e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.05199888939589829 0.03172609851200023 1.038070604248609e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.05399884668035592 0.03380219538258696 1.0714971312887602e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.05599880396481355 0.035945143872630474 1.1049399393605221e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.057998761249271176 0.03815497655589784 1.1383980792330125e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.0599987185337288 0.04043172408502307 1.1718706822988717e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.061998675818186424 0.04277541539267283 1.2053569508930913e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.06399863310264406 0.04518607780721678 1.2388561516272897e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.06599859038710168 0.04766373719354364 1.272367608406574e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.0679985476715593 0.05020841805867316 1.3058906963986444e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.06999850495601694 0.05282014364730992 1.3394248372725636e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.07199846224047456 0.055498936122892466 1.3729694944375255e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.07399841952493219 0.05824481647706875 1.4065241693925764e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.07599837680938981 0.06105780472583277 1.4400883983937543e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.07799833409384745 0.06393792003022399 1.473661748486395e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.07999829137830507 0.06688518054545299 1.5072438160767624e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.08199824866276269 0.06989960382323314 1.5408342231230644e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.08399820594722032 0.07298120645974031 1.5744326158657894e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.08599816323167794 0.07613000439736169 1.6080386627645071e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.08799812051613558 0.07934601307556999 1.6416520503714676e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.0899980778005932 0.08262924702859202 1.6752724877754175e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.09199803508505083 0.08597972043861449 1.7088996988249214e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.09399799236950845 0.08939744683403528 1.7425334216522387e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.09599794965396607 0.09288243924033797 1.7761734134345553e-06 0.0 0.0 0.0 0.0 0.0 0 nan
0.09799790693842371 0.09643471023038307 1.809819439284444e-06 0.0 0.0 0.0 0.0 0.0 0 nan
